student_id,course_id,grade_type,score,weight
1,5,homework1,100,0.05
1,5,homework2,100,0.05
1,5,quiz,76,0.2
1,5,mid exam,47,0.3
1,5,final exam,59,0.4
1,8,homework1,96,0.05
1,8,homework2,87,0.05
1,8,quiz,92,0.2
1,8,mid exam,87,0.3
1,8,final exam,100,0.4
1,6,homework1,82,0.05
1,6,homework2,95,0.05
1,6,quiz,77,0.2
1,6,mid exam,62,0.3
1,6,final exam,49,0.4
1,1,homework1,65,0.05
1,1,homework2,96,0.05
1,1,quiz,87,0.2
1,1,mid exam,78,0.3
1,1,final exam,98,0.4
1,2,homework1,65,0.05
1,2,homework2,71,0.05
1,2,quiz,95,0.2
1,2,mid exam,97,0.3
1,2,final exam,73,0.4
1,4,homework1,88,0.05
1,4,homework2,99,0.05
1,4,quiz,84,0.2
1,4,mid exam,100,0.3
1,4,final exam,100,0.4
75,5,homework1,76,0.05
75,5,homework2,83,0.05
75,5,quiz,74,0.2
75,5,mid exam,88,0.3
75,5,final exam,52,0.4
75,8,homework1,90,0.05
75,8,homework2,91,0.05
75,8,quiz,100,0.2
75,8,mid exam,95,0.3
75,8,final exam,65,0.4
75,6,homework1,73,0.05
75,6,homework2,84,0.05
75,6,quiz,91,0.2
75,6,mid exam,100,0.3
75,6,final exam,87,0.4
75,1,homework1,72,0.05
75,1,homework2,89,0.05
75,1,quiz,86,0.2
75,1,mid exam,54,0.3
75,1,final exam,81,0.4
75,2,homework1,92,0.05
75,2,homework2,83,0.05
75,2,quiz,84,0.2
75,2,mid exam,67,0.3
75,2,final exam,81,0.4
75,4,homework1,77,0.05
75,4,homework2,80,0.05
75,4,quiz,89,0.2
75,4,mid exam,92,0.3
75,4,final exam,83,0.4
117,5,homework1,87,0.05
117,5,homework2,81,0.05
117,5,quiz,58,0.2
117,5,mid exam,52,0.3
117,5,final exam,67,0.4
117,8,homework1,83,0.05
117,8,homework2,100,0.05
117,8,quiz,68,0.2
117,8,mid exam,100,0.3
117,8,final exam,77,0.4
117,6,homework1,89,0.05
117,6,homework2,56,0.05
117,6,quiz,67,0.2
117,6,mid exam,65,0.3
117,6,final exam,58,0.4
117,1,homework1,72,0.05
117,1,homework2,75,0.05
117,1,quiz,80,0.2
117,1,mid exam,68,0.3
117,1,final exam,49,0.4
117,2,homework1,93,0.05
117,2,homework2,78,0.05
117,2,quiz,76,0.2
117,2,mid exam,82,0.3
117,2,final exam,95,0.4
117,4,homework1,89,0.05
117,4,homework2,97,0.05
117,4,quiz,86,0.2
117,4,mid exam,81,0.3
117,4,final exam,62,0.4
156,5,homework1,96,0.05
156,5,homework2,100,0.05
156,5,quiz,74,0.2
156,5,mid exam,69,0.3
156,5,final exam,84,0.4
156,8,homework1,75,0.05
156,8,homework2,100,0.05
156,8,quiz,93,0.2
156,8,mid exam,64,0.3
156,8,final exam,100,0.4
156,6,homework1,100,0.05
156,6,homework2,85,0.05
156,6,quiz,89,0.2
156,6,mid exam,68,0.3
156,6,final exam,80,0.4
156,1,homework1,93,0.05
156,1,homework2,85,0.05
156,1,quiz,95,0.2
156,1,mid exam,86,0.3
156,1,final exam,70,0.4
156,2,homework1,85,0.05
156,2,homework2,81,0.05
156,2,quiz,84,0.2
156,2,mid exam,100,0.3
156,2,final exam,71,0.4
156,4,homework1,71,0.05
156,4,homework2,74,0.05
156,4,quiz,79,0.2
156,4,mid exam,68,0.3
156,4,final exam,89,0.4
159,5,homework1,81,0.05
159,5,homework2,93,0.05
159,5,quiz,80,0.2
159,5,mid exam,65,0.3
159,5,final exam,95,0.4
159,8,homework1,99,0.05
159,8,homework2,100,0.05
159,8,quiz,95,0.2
159,8,mid exam,52,0.3
159,8,final exam,55,0.4
159,6,homework1,75,0.05
159,6,homework2,86,0.05
159,6,quiz,85,0.2
159,6,mid exam,57,0.3
159,6,final exam,56,0.4
159,1,homework1,86,0.05
159,1,homework2,71,0.05
159,1,quiz,100,0.2
159,1,mid exam,46,0.3
159,1,final exam,53,0.4
159,2,homework1,94,0.05
159,2,homework2,93,0.05
159,2,quiz,87,0.2
159,2,mid exam,100,0.3
159,2,final exam,94,0.4
159,4,homework1,92,0.05
159,4,homework2,94,0.05
159,4,quiz,97,0.2
159,4,mid exam,78,0.3
159,4,final exam,70,0.4
185,5,homework1,74,0.05
185,5,homework2,78,0.05
185,5,quiz,100,0.2
185,5,mid exam,80,0.3
185,5,final exam,67,0.4
185,8,homework1,74,0.05
185,8,homework2,95,0.05
185,8,quiz,100,0.2
185,8,mid exam,66,0.3
185,8,final exam,92,0.4
185,6,homework1,97,0.05
185,6,homework2,93,0.05
185,6,quiz,78,0.2
185,6,mid exam,39,0.3
185,6,final exam,65,0.4
185,1,homework1,88,0.05
185,1,homework2,69,0.05
185,1,quiz,70,0.2
185,1,mid exam,59,0.3
185,1,final exam,64,0.4
185,2,homework1,93,0.05
185,2,homework2,67,0.05
185,2,quiz,81,0.2
185,2,mid exam,69,0.3
185,2,final exam,66,0.4
185,4,homework1,76,0.05
185,4,homework2,78,0.05
185,4,quiz,100,0.2
185,4,mid exam,64,0.3
185,4,final exam,94,0.4
199,5,homework1,82,0.05
199,5,homework2,81,0.05
199,5,quiz,100,0.2
199,5,mid exam,81,0.3
199,5,final exam,70,0.4
199,8,homework1,75,0.05
199,8,homework2,100,0.05
199,8,quiz,100,0.2
199,8,mid exam,96,0.3
199,8,final exam,94,0.4
199,6,homework1,74,0.05
199,6,homework2,80,0.05
199,6,quiz,83,0.2
199,6,mid exam,89,0.3
199,6,final exam,86,0.4
199,1,homework1,83,0.05
199,1,homework2,81,0.05
199,1,quiz,100,0.2
199,1,mid exam,56,0.3
199,1,final exam,68,0.4
199,2,homework1,75,0.05
199,2,homework2,99,0.05
199,2,quiz,97,0.2
199,2,mid exam,79,0.3
199,2,final exam,54,0.4
199,4,homework1,100,0.05
199,4,homework2,87,0.05
199,4,quiz,82,0.2
199,4,mid exam,82,0.3
199,4,final exam,46,0.4
209,5,homework1,85,0.05
209,5,homework2,100,0.05
209,5,quiz,74,0.2
209,5,mid exam,89,0.3
209,5,final exam,66,0.4
209,8,homework1,74,0.05
209,8,homework2,87,0.05
209,8,quiz,82,0.2
209,8,mid exam,72,0.3
209,8,final exam,100,0.4
209,6,homework1,92,0.05
209,6,homework2,100,0.05
209,6,quiz,68,0.2
209,6,mid exam,89,0.3
209,6,final exam,52,0.4
209,1,homework1,86,0.05
209,1,homework2,96,0.05
209,1,quiz,82,0.2
209,1,mid exam,71,0.3
209,1,final exam,70,0.4
209,2,homework1,79,0.05
209,2,homework2,93,0.05
209,2,quiz,55,0.2
209,2,mid exam,67,0.3
209,2,final exam,92,0.4
209,4,homework1,74,0.05
209,4,homework2,84,0.05
209,4,quiz,70,0.2
209,4,mid exam,66,0.3
209,4,final exam,69,0.4
232,5,homework1,84,0.05
232,5,homework2,64,0.05
232,5,quiz,80,0.2
232,5,mid exam,59,0.3
232,5,final exam,92,0.4
232,8,homework1,93,0.05
232,8,homework2,100,0.05
232,8,quiz,69,0.2
232,8,mid exam,74,0.3
232,8,final exam,51,0.4
232,6,homework1,65,0.05
232,6,homework2,87,0.05
232,6,quiz,72,0.2
232,6,mid exam,78,0.3
232,6,final exam,77,0.4
232,1,homework1,94,0.05
232,1,homework2,82,0.05
232,1,quiz,92,0.2
232,1,mid exam,57,0.3
232,1,final exam,64,0.4
232,2,homework1,83,0.05
232,2,homework2,71,0.05
232,2,quiz,100,0.2
232,2,mid exam,65,0.3
232,2,final exam,75,0.4
232,4,homework1,72,0.05
232,4,homework2,79,0.05
232,4,quiz,80,0.2
232,4,mid exam,99,0.3
232,4,final exam,67,0.4
305,5,homework1,78,0.05
305,5,homework2,72,0.05
305,5,quiz,89,0.2
305,5,mid exam,61,0.3
305,5,final exam,75,0.4
305,8,homework1,80,0.05
305,8,homework2,87,0.05
305,8,quiz,87,0.2
305,8,mid exam,62,0.3
305,8,final exam,69,0.4
305,6,homework1,86,0.05
305,6,homework2,81,0.05
305,6,quiz,95,0.2
305,6,mid exam,56,0.3
305,6,final exam,63,0.4
305,1,homework1,97,0.05
305,1,homework2,98,0.05
305,1,quiz,66,0.2
305,1,mid exam,86,0.3
305,1,final exam,100,0.4
305,2,homework1,87,0.05
305,2,homework2,84,0.05
305,2,quiz,66,0.2
305,2,mid exam,100,0.3
305,2,final exam,75,0.4
305,4,homework1,70,0.05
305,4,homework2,73,0.05
305,4,quiz,91,0.2
305,4,mid exam,66,0.3
305,4,final exam,86,0.4
365,5,homework1,91,0.05
365,5,homework2,100,0.05
365,5,quiz,100,0.2
365,5,mid exam,90,0.3
365,5,final exam,77,0.4
365,8,homework1,58,0.05
365,8,homework2,71,0.05
365,8,quiz,100,0.2
365,8,mid exam,66,0.3
365,8,final exam,76,0.4
365,6,homework1,70,0.05
365,6,homework2,88,0.05
365,6,quiz,97,0.2
365,6,mid exam,89,0.3
365,6,final exam,72,0.4
365,1,homework1,75,0.05
365,1,homework2,58,0.05
365,1,quiz,81,0.2
365,1,mid exam,69,0.3
365,1,final exam,87,0.4
365,2,homework1,70,0.05
365,2,homework2,62,0.05
365,2,quiz,81,0.2
365,2,mid exam,86,0.3
365,2,final exam,78,0.4
365,4,homework1,95,0.05
365,4,homework2,90,0.05
365,4,quiz,84,0.2
365,4,mid exam,55,0.3
365,4,final exam,70,0.4
373,5,homework1,93,0.05
373,5,homework2,92,0.05
373,5,quiz,70,0.2
373,5,mid exam,79,0.3
373,5,final exam,44,0.4
373,8,homework1,78,0.05
373,8,homework2,80,0.05
373,8,quiz,62,0.2
373,8,mid exam,83,0.3
373,8,final exam,80,0.4
373,6,homework1,85,0.05
373,6,homework2,69,0.05
373,6,quiz,88,0.2
373,6,mid exam,62,0.3
373,6,final exam,88,0.4
373,1,homework1,79,0.05
373,1,homework2,85,0.05
373,1,quiz,73,0.2
373,1,mid exam,69,0.3
373,1,final exam,74,0.4
373,2,homework1,69,0.05
373,2,homework2,93,0.05
373,2,quiz,73,0.2
373,2,mid exam,59,0.3
373,2,final exam,70,0.4
373,4,homework1,71,0.05
373,4,homework2,78,0.05
373,4,quiz,100,0.2
373,4,mid exam,80,0.3
373,4,final exam,52,0.4
381,5,homework1,84,0.05
381,5,homework2,56,0.05
381,5,quiz,70,0.2
381,5,mid exam,69,0.3
381,5,final exam,97,0.4
381,8,homework1,86,0.05
381,8,homework2,98,0.05
381,8,quiz,78,0.2
381,8,mid exam,73,0.3
381,8,final exam,87,0.4
381,6,homework1,69,0.05
381,6,homework2,100,0.05
381,6,quiz,95,0.2
381,6,mid exam,67,0.3
381,6,final exam,82,0.4
381,1,homework1,100,0.05
381,1,homework2,93,0.05
381,1,quiz,84,0.2
381,1,mid exam,63,0.3
381,1,final exam,92,0.4
381,2,homework1,88,0.05
381,2,homework2,91,0.05
381,2,quiz,64,0.2
381,2,mid exam,95,0.3
381,2,final exam,76,0.4
381,4,homework1,89,0.05
381,4,homework2,72,0.05
381,4,quiz,83,0.2
381,4,mid exam,83,0.3
381,4,final exam,71,0.4
425,5,homework1,93,0.05
425,5,homework2,72,0.05
425,5,quiz,72,0.2
425,5,mid exam,82,0.3
425,5,final exam,94,0.4
425,8,homework1,90,0.05
425,8,homework2,84,0.05
425,8,quiz,50,0.2
425,8,mid exam,59,0.3
425,8,final exam,82,0.4
425,6,homework1,74,0.05
425,6,homework2,80,0.05
425,6,quiz,73,0.2
425,6,mid exam,89,0.3
425,6,final exam,56,0.4
425,1,homework1,57,0.05
425,1,homework2,84,0.05
425,1,quiz,74,0.2
425,1,mid exam,59,0.3
425,1,final exam,87,0.4
425,2,homework1,94,0.05
425,2,homework2,87,0.05
425,2,quiz,80,0.2
425,2,mid exam,86,0.3
425,2,final exam,92,0.4
425,4,homework1,80,0.05
425,4,homework2,89,0.05
425,4,quiz,76,0.2
425,4,mid exam,99,0.3
425,4,final exam,67,0.4
470,5,homework1,84,0.05
470,5,homework2,100,0.05
470,5,quiz,68,0.2
470,5,mid exam,44,0.3
470,5,final exam,77,0.4
470,8,homework1,95,0.05
470,8,homework2,91,0.05
470,8,quiz,96,0.2
470,8,mid exam,74,0.3
470,8,final exam,81,0.4
470,6,homework1,89,0.05
470,6,homework2,87,0.05
470,6,quiz,100,0.2
470,6,mid exam,81,0.3
470,6,final exam,57,0.4
470,1,homework1,66,0.05
470,1,homework2,91,0.05
470,1,quiz,81,0.2
470,1,mid exam,59,0.3
470,1,final exam,100,0.4
470,2,homework1,80,0.05
470,2,homework2,89,0.05
470,2,quiz,87,0.2
470,2,mid exam,66,0.3
470,2,final exam,75,0.4
470,4,homework1,85,0.05
470,4,homework2,75,0.05
470,4,quiz,91,0.2
470,4,mid exam,54,0.3
470,4,final exam,47,0.4
486,5,homework1,81,0.05
486,5,homework2,80,0.05
486,5,quiz,65,0.2
486,5,mid exam,62,0.3
486,5,final exam,100,0.4
486,8,homework1,69,0.05
486,8,homework2,100,0.05
486,8,quiz,75,0.2
486,8,mid exam,100,0.3
486,8,final exam,92,0.4
486,6,homework1,92,0.05
486,6,homework2,77,0.05
486,6,quiz,100,0.2
486,6,mid exam,74,0.3
486,6,final exam,73,0.4
486,1,homework1,74,0.05
486,1,homework2,72,0.05
486,1,quiz,82,0.2
486,1,mid exam,77,0.3
486,1,final exam,95,0.4
486,2,homework1,67,0.05
486,2,homework2,94,0.05
486,2,quiz,67,0.2
486,2,mid exam,100,0.3
486,2,final exam,82,0.4
486,4,homework1,91,0.05
486,4,homework2,98,0.05
486,4,quiz,95,0.2
486,4,mid exam,67,0.3
486,4,final exam,64,0.4
507,5,homework1,94,0.05
507,5,homework2,100,0.05
507,5,quiz,68,0.2
507,5,mid exam,85,0.3
507,5,final exam,68,0.4
507,8,homework1,64,0.05
507,8,homework2,90,0.05
507,8,quiz,72,0.2
507,8,mid exam,100,0.3
507,8,final exam,55,0.4
507,6,homework1,73,0.05
507,6,homework2,100,0.05
507,6,quiz,96,0.2
507,6,mid exam,92,0.3
507,6,final exam,93,0.4
507,1,homework1,79,0.05
507,1,homework2,73,0.05
507,1,quiz,76,0.2
507,1,mid exam,94,0.3
507,1,final exam,55,0.4
507,2,homework1,100,0.05
507,2,homework2,93,0.05
507,2,quiz,100,0.2
507,2,mid exam,86,0.3
507,2,final exam,79,0.4
507,4,homework1,57,0.05
507,4,homework2,72,0.05
507,4,quiz,72,0.2
507,4,mid exam,100,0.3
507,4,final exam,64,0.4
527,5,homework1,79,0.05
527,5,homework2,100,0.05
527,5,quiz,79,0.2
527,5,mid exam,64,0.3
527,5,final exam,95,0.4
527,8,homework1,94,0.05
527,8,homework2,91,0.05
527,8,quiz,89,0.2
527,8,mid exam,87,0.3
527,8,final exam,95,0.4
527,6,homework1,98,0.05
527,6,homework2,76,0.05
527,6,quiz,92,0.2
527,6,mid exam,94,0.3
527,6,final exam,100,0.4
527,1,homework1,90,0.05
527,1,homework2,79,0.05
527,1,quiz,80,0.2
527,1,mid exam,91,0.3
527,1,final exam,85,0.4
527,2,homework1,90,0.05
527,2,homework2,84,0.05
527,2,quiz,81,0.2
527,2,mid exam,79,0.3
527,2,final exam,85,0.4
527,4,homework1,72,0.05
527,4,homework2,78,0.05
527,4,quiz,77,0.2
527,4,mid exam,57,0.3
527,4,final exam,89,0.4
549,5,homework1,82,0.05
549,5,homework2,73,0.05
549,5,quiz,95,0.2
549,5,mid exam,59,0.3
549,5,final exam,60,0.4
549,8,homework1,84,0.05
549,8,homework2,82,0.05
549,8,quiz,100,0.2
549,8,mid exam,74,0.3
549,8,final exam,91,0.4
549,6,homework1,83,0.05
549,6,homework2,93,0.05
549,6,quiz,81,0.2
549,6,mid exam,88,0.3
549,6,final exam,72,0.4
549,1,homework1,84,0.05
549,1,homework2,99,0.05
549,1,quiz,85,0.2
549,1,mid exam,70,0.3
549,1,final exam,62,0.4
549,2,homework1,79,0.05
549,2,homework2,68,0.05
549,2,quiz,67,0.2
549,2,mid exam,75,0.3
549,2,final exam,100,0.4
549,4,homework1,91,0.05
549,4,homework2,98,0.05
549,4,quiz,82,0.2
549,4,mid exam,80,0.3
549,4,final exam,61,0.4
584,5,homework1,99,0.05
584,5,homework2,100,0.05
584,5,quiz,62,0.2
584,5,mid exam,96,0.3
584,5,final exam,67,0.4
584,8,homework1,98,0.05
584,8,homework2,77,0.05
584,8,quiz,100,0.2
584,8,mid exam,74,0.3
584,8,final exam,60,0.4
584,6,homework1,86,0.05
584,6,homework2,79,0.05
584,6,quiz,93,0.2
584,6,mid exam,100,0.3
584,6,final exam,84,0.4
584,1,homework1,90,0.05
584,1,homework2,91,0.05
584,1,quiz,83,0.2
584,1,mid exam,92,0.3
584,1,final exam,59,0.4
584,2,homework1,79,0.05
584,2,homework2,98,0.05
584,2,quiz,100,0.2
584,2,mid exam,70,0.3
584,2,final exam,100,0.4
584,4,homework1,86,0.05
584,4,homework2,90,0.05
584,4,quiz,96,0.2
584,4,mid exam,100,0.3
584,4,final exam,54,0.4
599,5,homework1,100,0.05
599,5,homework2,86,0.05
599,5,quiz,80,0.2
599,5,mid exam,100,0.3
599,5,final exam,80,0.4
599,8,homework1,92,0.05
599,8,homework2,88,0.05
599,8,quiz,100,0.2
599,8,mid exam,100,0.3
599,8,final exam,93,0.4
599,6,homework1,69,0.05
599,6,homework2,96,0.05
599,6,quiz,100,0.2
599,6,mid exam,76,0.3
599,6,final exam,60,0.4
599,1,homework1,84,0.05
599,1,homework2,100,0.05
599,1,quiz,74,0.2
599,1,mid exam,85,0.3
599,1,final exam,82,0.4
599,2,homework1,100,0.05
599,2,homework2,96,0.05
599,2,quiz,100,0.2
599,2,mid exam,100,0.3
599,2,final exam,85,0.4
599,4,homework1,90,0.05
599,4,homework2,74,0.05
599,4,quiz,66,0.2
599,4,mid exam,78,0.3
599,4,final exam,68,0.4
630,5,homework1,61,0.05
630,5,homework2,76,0.05
630,5,quiz,100,0.2
630,5,mid exam,74,0.3
630,5,final exam,66,0.4
630,8,homework1,100,0.05
630,8,homework2,82,0.05
630,8,quiz,49,0.2
630,8,mid exam,73,0.3
630,8,final exam,100,0.4
630,6,homework1,79,0.05
630,6,homework2,81,0.05
630,6,quiz,75,0.2
630,6,mid exam,42,0.3
630,6,final exam,49,0.4
630,1,homework1,78,0.05
630,1,homework2,81,0.05
630,1,quiz,93,0.2
630,1,mid exam,83,0.3
630,1,final exam,39,0.4
630,2,homework1,68,0.05
630,2,homework2,97,0.05
630,2,quiz,95,0.2
630,2,mid exam,70,0.3
630,2,final exam,69,0.4
630,4,homework1,86,0.05
630,4,homework2,73,0.05
630,4,quiz,83,0.2
